Year,State,r_avg_win,d_avg_win
1966,CO,0.5232058,0.554510037
1966,CT,0.506311352,0.562329473
1966,DE,0.557724734,
1966,FL,0.772947562,0.884869338
1966,GA,0.551460505,0.744268567
1966,HI,,0.684184627
1966,IA,0.564132508,0.573821767
1966,ID,0.610752513,
1966,IL,0.672755784,0.610515149
1966,IN,0.593333764,0.549526378
1966,KS,0.630117232,
1966,KY,0.627901701,0.658643811
1966,LA,,0.881100364
1966,MA,0.693237546,0.886159901
1966,MD,0.655771223,0.746785151
1966,ME,,0.547288771
1966,MI,0.618027068,0.702555088
1966,MN,0.624267916,0.710151474
1966,MO,0.642614916,0.611858692
1966,MS,,0.840380875
1966,MT,0.601751067,0.508322731
1966,NC,0.637902775,0.674840585
1966,ND,0.590766292,
1966,NE,0.627955453,
1966,NH,0.615331692,
1966,NJ,0.64640681,0.607114621
1966,NM,,0.531990328
1966,NV,,0.676315995
1966,NY,0.655313147,0.674405156
1966,OH,0.645237838,0.709042598
1966,OK,0.60506936,0.626776924
1966,OR,0.685187595,0.651094857
1966,PA,0.649033225,0.608227838
1966,RI,,0.607365418
1966,SC,0.643416276,0.838991213
1966,SD,0.63605216,
1966,TN,0.738093129,0.778587104
1966,TX,0.584115163,0.926963478
1966,UT,0.638734068,
1966,VA,0.625355098,0.859054292
1966,VT,0.656379844,
1966,WA,0.737354016,0.617872803
1966,WI,0.613385769,0.675276996
1966,WV,0.709147232,0.613153133
1966,WY,0.523009981,
1968,AK,0.542258779,
1968,AL,0.627740234,0.897971687
1968,AR,0.67123635,0.896251691
1968,AZ,0.674885617,0.702925737
1968,CA,0.731002528,0.6300942
1968,CO,0.628549593,0.530883887
1968,CT,0.571767152,0.573230173
1968,DE,0.586729409,
1968,FL,0.721789582,0.692396645
1968,GA,0.565828386,0.960229825
1968,HI,,0.729790649
1968,IA,0.60170851,0.585881867
1968,ID,0.569787709,
1968,IL,0.671334295,0.637154103
1968,IN,0.574899468,0.541516803
1968,KS,0.622086616,
1968,KY,0.649248756,0.688775563
1968,LA,,0.894620269
1968,MA,0.787713838,0.780297618
1968,MD,0.600516762,0.713799347
1968,ME,,0.561644824
1968,MI,0.626952992,0.77185088
1968,MN,0.600923155,0.623002524
1968,MO,0.637601395,0.591709426
1968,MS,,0.940093018
1968,MT,0.678485927,0.536156641
1968,NC,0.646029008,0.687971411
1968,ND,0.592654709,
1968,NE,0.594958608,
1968,NH,0.67256346,
1968,NJ,0.639880256,0.593927375
1968,NM,0.519129502,
1968,NV,,0.721438221
1968,NY,0.656363616,0.676556605
1968,OH,0.689297638,0.648555485
1968,OK,0.573199195,0.626363106
1968,OR,0.697701321,0.668868551
1968,PA,0.637639508,0.652980042
1968,RI,,0.611642915
1968,SC,0.575831606,0.731200157
1968,SD,0.586695309,
1968,TN,0.721973706,0.709884552
1968,TX,0.748604424,0.842564235
1968,UT,0.648848387,
1968,VA,0.663101187,0.680124039
1968,VT,1,
1968,WA,0.643826482,0.584049541
1968,WI,0.629735753,0.669385612
1968,WV,,0.612519675
1968,WY,0.627370999,
1970,AK,,0.55113381
1970,AL,0.672854807,0.970925449
1970,AR,0.667001518,1
1970,AZ,0.652845816,0.697870834
1970,CA,0.661992426,0.691912188
1970,CO,0.583289182,0.603568301
1970,CT,0.551483537,0.532491746
1970,DE,0.546637978,
1970,FL,0.656874125,0.784342813
1970,GA,0.612564518,0.920000414
1970,HI,,0.864459143
1970,IA,0.567215848,0.634318236
1970,ID,0.628729607,
1970,IL,0.643788795,0.715934826
1970,IN,0.545888153,0.591718225
1970,KS,0.602477081,0.537978846
1970,KY,0.73517515,0.780551256
1970,LA,,0.965561421
1970,MA,0.676798821,0.761346473
1970,MD,0.669832845,0.697607546
1970,ME,,0.61685579
1970,MI,0.623238755,0.800697581
1970,MN,0.588806941,0.653041053
1970,MO,1,0.659105606
1970,MS,,0.92731373
1970,MT,0.504754513,0.640888422
1970,NC,0.594852658,0.704572715
1970,ND,0.656932712,0.502631999
1970,NE,0.600131583,
1970,NH,0.685221175,
1970,NJ,0.600659866,0.641285104
1970,NM,0.585338768,0.513711064
1970,NV,,0.824567904
1970,NY,0.671691813,0.747072682
1970,OH,0.66645073,0.692228654
1970,OK,0.599393322,0.771294393
1970,OR,0.650732814,0.725134238
1970,PA,0.60820792,0.707202391
1970,RI,,0.641401379
1970,SC,0.533785434,0.813266079
1970,SD,,0.541192737
1970,TN,0.64363718,0.8181677
1970,TX,0.751327717,0.871732887
1970,UT,0.528580485,0.51685898
1970,VA,0.628626855,0.772511437
1970,VT,0.700346105,
1970,WA,0.668247747,0.648551436
1970,WI,0.566924484,0.712683159
1970,WV,,0.654819111
1970,WY,,0.50261384
1972,AK,,0.56237356
1972,AL,0.669089586,0.809275354
1972,AR,0.77289203,1
1972,AZ,0.577661179,0.634677902
1972,CA,0.638615467,0.708822742
1972,CO,0.602059175,0.59204023
1972,CT,0.600688406,0.570241054
1972,DE,0.62921053,
1972,FL,0.752019959,0.695995268
1972,GA,0.759128976,0.85945168
1972,HI,,0.558908464
1972,IA,0.544676941,0.57546007
1972,ID,0.637458269,
1972,IL,0.662292787,0.750732914
1972,IN,0.595846238,0.56847628
1972,KS,0.74710086,0.620238463
1972,KY,0.736828837,0.609662792
1972,LA,0.540152419,0.97484551
1972,MA,0.848153,0.799111594
1972,MD,0.641733698,0.700912687
1972,ME,0.543868178,0.593625571
1972,MI,0.63191509,0.692431527
1972,MN,0.613950096,0.700828236
1972,MO,0.637161517,0.628531399
1972,MS,0.538701464,0.880386023
1972,MT,0.537398295,0.760517176
1972,NC,0.641151495,0.73054084
1972,ND,0.728384475,
1972,NE,0.659219251,
1972,NH,0.702635689,
1972,NJ,0.604748807,0.606557384
1972,NM,0.556818502,0.721727892
1972,NV,0.521511454,
1972,NY,0.654499901,0.739429532
1972,OH,0.686414751,0.741727832
1972,OK,0.726921846,0.716550878
1972,OR,0.655694098,0.812403929
1972,PA,0.661625703,0.629817782
1972,RI,,0.637001215
1972,SC,0.771829082,0.641738235
1972,SD,0.548740696,0.605277156
1972,TN,0.696311048,0.715049728
1972,TX,0.665333364,0.861058429
1972,UT,,0.561115698
1972,VA,0.624300609,0.926967002
1972,VT,0.65017797,
1972,WA,0.506168251,0.699541617
1972,WI,0.589841003,0.704082784
1972,WV,,0.660417059
1972,WY,,0.516968674
1974,AK,0.538370117,
1974,AL,0.619346824,1
1974,AR,0.518258932,0.831641763
1974,AZ,0.537074382,0.619539952
1974,CA,0.592485117,0.727336891
1974,CO,0.55905801,0.60728044
1974,CT,0.526528044,0.637015529
1974,DE,0.596417402,
1974,FL,0.662383509,0.864506371
1974,GA,,0.745480861
1974,HI,,0.6096837
1974,IA,0.508443651,0.551763296
1974,ID,0.569632685,
1974,IL,0.593508642,0.747276722
1974,IN,0.570603772,0.589147091
1974,KS,0.592010344,0.556434163
1974,KY,0.608297713,0.75834218
1974,LA,0.563230049,0.974692857
1974,MA,0.676468298,0.869635861
1974,MD,0.590181664,0.774444308
1974,ME,0.607750687,
1974,MI,0.54930246,0.699586472
1974,MN,0.586969777,0.703169761
1974,MO,0.52339937,0.700296375
1974,MS,0.772293116,0.901608255
1974,MT,,0.588973796
1974,NC,0.548085814,0.757397724
1974,ND,0.55708466,
1974,NE,0.52900105,
1974,NH,0.6423078,0.521330738
1974,NJ,0.584782124,0.679707345
1974,NM,0.596220741,0.676771393
1974,NV,,0.604887405
1974,NY,0.614464833,0.764363539
1974,OH,0.624653861,0.70923638
1974,OK,,0.72191816
1974,OR,,0.643962539
1974,PA,0.589658986,0.725292874
1974,RI,,0.75573696
1974,SC,0.565925044,0.625388623
1974,SD,0.615427855,
1974,TN,0.639288337,0.805951254
1974,TX,0.653117896,0.833067882
1974,UT,,0.589254495
1974,VA,0.566158423,0.823796713
1974,VT,0.569589696,
1974,WA,0.708224978,0.647030519
1974,WI,0.586384889,0.667708906
1974,WV,,0.731449895
1974,WY,,0.547012991
1976,AK,0.710013908,
1976,AL,0.590536177,0.950956136
1976,AR,1,0.850803466
1976,AZ,0.54343339,0.562628974
1976,CA,0.623627275,0.693212665
1976,CO,0.634051118,0.520327964
1976,CT,0.646098506,0.589771207
1976,DE,0.519346998,
1976,FL,0.644944312,0.845360523
1976,GA,,0.779364564
1976,HI,,0.683069
1976,IA,0.542563777,0.633605789
1976,ID,0.525947718,
1976,IL,0.655321507,0.729843745
1976,IN,0.597952679,0.636712077
1976,KS,0.686833107,0.512874993
1976,KY,0.614853829,0.747403913
1976,LA,0.692657355,0.813332226
1976,MA,0.818885435,0.789146038
1976,MD,0.547722448,0.765845998
1976,ME,0.685325627,
1976,MI,0.581164635,0.700805484
1976,MN,0.656268667,0.749968487
1976,MO,0.605545082,0.629640542
1976,MS,0.730421622,0.859158802
1976,MT,0.549558846,0.66446741
1976,NC,0.567610587,0.733741327
1976,ND,0.634525258,
1976,NE,0.739482405,0.546093461
1976,NH,0.605334037,0.691538427
1976,NJ,0.639607602,0.647241615
1976,NM,0.724582975,0.703285257
1976,NV,,0.864563216
1976,NY,0.642893532,0.771605561
1976,OH,0.658362577,0.70971019
1976,OK,0.512708356,0.678973045
1976,OR,,0.723528207
1976,PA,0.664387438,0.648601006
1976,RI,,0.702098061
1976,SC,0.579234593,0.69945524
1976,SD,0.751594317,
1976,TN,0.619037383,0.859293667
1976,TX,0.870210403,0.735796254
1976,UT,0.566323419,0.59361948
1976,VA,0.711066708,0.783141003
1976,VT,0.67398462,
1976,WA,0.735567104,0.64613101
1976,WI,0.646333366,0.705478371
1976,WV,,0.757744675
1976,WY,,0.564444123
1978,AK,0.554985603,
1978,AL,0.598811845,0.99421673
1978,AR,0.648387815,1
1978,AZ,0.680345613,0.768133517
1978,CA,0.640105477,0.660910731
1978,CO,0.623593046,0.55143449
1978,CT,0.583636768,0.611802151
1978,DE,0.585677602,
1978,FL,0.766077099,0.778213159
1978,GA,0.54407193,0.888719872
1978,HI,,0.829190496
1978,IA,0.637971636,0.633044444
1978,ID,0.586149182,
1978,IL,0.706962096,0.733704253
1978,IN,0.60377764,0.613794061
1978,KS,0.774955897,0.695443529
1978,KY,0.657848352,0.860537032
1978,LA,0.92352461,0.794440912
1978,MA,0.805723938,0.844926121
1978,MD,0.627740437,0.807556234
1978,ME,0.593159607,
1978,MI,0.642843502,0.716786254
1978,MN,0.617768009,0.689116822
1978,MO,0.585602752,0.690759615
1978,MS,0.830990084,0.741066358
1978,MT,0.568617444,0.573023603
1978,NC,0.844862278,0.706108561
1978,ND,0.684763767,
1978,NE,0.690724594,0.523147771
1978,NH,0.681288836,0.627309828
1978,NJ,0.630522029,0.677894717
1978,NM,0.625278019,1
1978,NV,,0.748923352
1978,NY,0.713656171,0.745142318
1978,OH,0.693559938,0.706628211
1978,OK,0.85642882,0.698488072
1978,OR,,0.72101885
1978,PA,0.679941549,0.640073266
1978,RI,,0.56926183
1978,SC,0.551809687,0.856381731
1978,SD,0.560429467,0.500537813
1978,TN,0.736637874,0.805350275
1978,TX,0.731801983,0.702761705
1978,UT,0.638118398,0.524770847
1978,VA,0.830364102,0.762691602
1978,VT,0.796095369,
1978,WA,0.654721975,0.565572429
1978,WI,0.630879466,0.630345225
1978,WV,,0.694835913
1978,WY,0.586309777,
1980,AK,0.740784749,
1980,AL,0.720356108,0.934690186
1980,AR,0.89505327,1
1980,AZ,0.700059233,0.636332547
1980,CA,0.67877243,0.672928384
1980,CO,0.719818175,0.58275418
1980,CT,0.577733154,0.564956021
1980,DE,0.622321209,
1980,FL,0.723113482,0.693140062
1980,GA,0.590562895,0.786683019
1980,HI,,0.916074529
1980,IA,0.569023708,0.595169103
1980,ID,0.562635085,
1980,IL,0.682962396,0.759628497
1980,IN,0.598371001,0.585493564
1980,KS,0.621774447,0.689299828
1980,KY,0.64569368,0.823719718
1980,LA,0.907563664,0.890818095
1980,MA,0.67750989,0.769463138
1980,MD,0.718608933,0.690623263
1980,ME,0.734971826,
1980,MI,0.682485747,0.703317834
1980,MN,0.625667953,0.676885681
1980,MO,0.626792247,0.677814031
1980,MS,0.654580424,0.775194973
1980,MT,0.590635719,0.614270164
1980,NC,0.58214135,0.676467772
1980,ND,,0.571665568
1980,NE,0.724707406,
1980,NH,0.641389383,0.607916813
1980,NJ,0.656577857,0.658187066
1980,NM,0.518957328,
1980,NV,,0.723296973
1980,NY,0.675011358,0.768448655
1980,OH,0.702236387,0.720415135
1980,OK,0.709816502,0.656065853
1980,OR,0.506724583,0.642404999
1980,PA,0.69039975,0.687683422
1980,RI,0.553086859,0.67612542
1980,SC,0.647876594,0.801264431
1980,SD,0.583784883,0.657887649
1980,TN,0.920185066,0.766112054
1980,TX,0.68996704,0.759132891
1980,UT,0.604988395,
1980,VA,0.769764287,1
1980,VT,1,
1980,WA,0.692732137,0.583379955
1980,WI,0.641020292,0.648040417
1980,WV,0.543119069,0.700891686
1980,WY,0.685690546,
1982,AK,0.711506781,
1982,AL,0.561138008,0.869989425
1982,AR,0.59911458,0.651940428
1982,AZ,0.666868497,0.614260267
1982,CA,0.673721624,0.658949963
1982,CO,0.643042071,0.596753841
1982,CT,0.544018613,0.585276435
1982,DE,,0.530643129
1982,FL,0.641140332,0.741730056
1982,GA,0.552712058,0.813582582
1982,HI,,1
1982,IA,0.578397856,0.63138661
1982,ID,0.529817212,
1982,IL,0.61193557,0.732427213
1982,IN,0.608279292,0.597421545
1982,KS,0.661893172,0.662964271
1982,KY,0.591668893,0.800320487
1982,LA,1,0.961728226
1982,MA,1,0.776532161
1982,MD,0.611966268,0.727648114
1982,ME,0.589373523,
1982,MI,0.63328621,0.764354353
1982,MN,0.593268092,0.64290723
1982,MO,0.529839032,0.625246666
1982,MS,0.647738361,0.747994428
1982,MT,0.548541325,0.615961696
1982,NC,0.7881852,0.617765281
1982,ND,,0.720834702
1982,NE,0.772991882,
